S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, 

sound (0.023992260856444157), sound (0.024247487104439126), sound (0.02395985609808486), sound (0.02424815796147928), sound (0.023865895954066213), headphon (0.020704725745504932), headphon (0.02133421349755032), headphon (0.02009931799416428), headphon (0.02010358407304436), headphon (0.020457861333109287), 


headphon (0.021908256953812807), headphon (0.022381705568432428), headphon (0.02157159465028159), headphon (0.02205197381952112), headphon (0.021876552908106445), sound (0.013467042932940574), ear (0.012944578077876839), beat (0.012574536243141513), sound (0.012519649288405384), sound (0.014027485578072445), 


ear (0.013894216910437567), ear (0.014036201590379176), ear (0.014076664618990778), ear (0.01398575761258346), ear (0.014168004119634444), ear (0.01212595823010781), sound (0.012191558131414239), ear (0.012419042354459385), ear (0.012053194385299), ear (0.012378358636391983), 


use (0.01220877836827687), great (0.012346895621177773), great (0.012374857035423082), great (0.012322751123586237), great (0.012354081567408462), use (0.010996011077017651), beat (0.011222327881795039), sound (0.011830080364206913), one (0.010174935975457298), use (0.01168334765172813), 


great (0.012202719619090785), good (0.01192744644790142), use (0.012221619602934922), use (0.012028233943855432), use (0.012266993379029985), one (0.009621208590575804), one (0.01053113056889128), one (0.011151651614224383), beat (0.010018829067884361), like (0.00932968380728261), 


good (0.011813017269637568), use (0.011655060246962815), good (0.011893965580622841), good (0.011929215236876971), good (0.011848970074813298), like (0.008393720706330793), like (0.009111236968630039), like (0.009462347519985646), use (0.008816930267546914), one (0.008489116794032357), 


qualiti (0.010121610023395464), qualiti (0.010143508653021818), qualiti (0.010184683000348407), qualiti (0.010077057628138845), qualiti (0.009981550492583396), beat (0.008369235172995624), box (0.00890921546661809), box (0.009456735214024719), qualiti (0.008748827851693383), get (0.007957189527261118), 


like (0.008531593565019022), like (0.008483615278287965), like (0.008436779603755818), like (0.008554962375995588), like (0.008423916037585504), qualiti (0.00832909495441338), qualiti (0.008413283083752636), use (0.009445510602102868), like (0.008601428102311766), qualiti (0.00785697686883645), 


price (0.007862108211749748), price (0.008176701249061367), price (0.008040604778298625), price (0.008259175725662496), price (0.008054413295465397), get (0.007067487884373461), use (0.008128155746464869), monster (0.008883289599075984), box (0.00829481174600317), work (0.0075536716364941105), 


bass (0.007238532998279071), bass (0.007371051922341546), bass (0.007214617642203909), bass (0.007392127304299822), bass (0.007157404955167089), work (0.006700204884345931), monster (0.008088629800419052), qualiti (0.007430362626485661), monster (0.007504948110076361), beat (0.0073349565568904635), 


get (0.006758901316426863), get (0.0065845847224483885), get (0.006796017826626497), get (0.006511114706311983), get (0.006511708244189529), first (0.006435279441703122), get (0.00769472165435562), get (0.0063683162572916), get (0.007330804946249978), dont (0.006679573391527619), 


music (0.00627013648824319), comfort (0.006418339623283981), music (0.006224180578560926), comfort (0.006328310939582517), music (0.006210631935795367), dont (0.006398751842793281), work (0.00689373004688015), first (0.006082748924573893), work (0.006889849577846744), pair (0.006096968240457973), 


comfort (0.006162969950091853), music (0.006253373332574684), comfort (0.00620798475236299), music (0.006179782879114827), comfort (0.006140961385092586), box (0.006366238265741664), even (0.006064023008516694), work (0.006025635458030352), pair (0.005882306987136958), first (0.005885492858611242), 


work (0.005971251058649346), pair (0.006006563300738295), work (0.006184313929458315), one (0.005991901229976209), one (0.006097417290903348), volum (0.005888569664612963), first (0.0059596339715238976), two (0.005847032074215), first (0.005640061407457042), got (0.00587977730775052), 


one (0.00595088800140609), work (0.0058479910523045525), nois (0.00601488067077222), pair (0.005890343581793173), work (0.005971761476242975), monster (0.005753698530176625), problem (0.005384649696566812), see (0.005798502134435227), problem (0.005418339843513809), problem (0.005658394971078535), 


pair (0.005919668077256132), one (0.005836481776208555), pair (0.006004914008496567), nois (0.005863684699145126), pair (0.005882185053910828), problem (0.005722389159682474), dont (0.0052816119739687445), dont (0.005790248743316219), two (0.005385377030360957), box (0.005554752982137434), 


nois (0.005896616530458966), nois (0.0058198572662921146), one (0.005775680776156556), work (0.0057151566386774355), nois (0.005694323390408686), even (0.005427358553102984), studio (0.005246815628304479), studio (0.005713657273731816), dont (0.005197551189376788), even (0.005478926674051849), 


would (0.005891728367633674), would (0.005746965184350797), would (0.005619951678099483), would (0.005649144167358461), well (0.005683126337617167), time (0.005283255168392728), see (0.0051667502504168), pair (0.0053547998278773105), see (0.005187600151443851), price (0.005249542566174854), 


well (0.005565584998495636), well (0.005707322122242362), well (0.005597526687979264), listen (0.005635179990733295), would (0.005679393986686661), pair (0.005229467275492522), fake (0.004980268863944232), fake (0.005290753512793802), even (0.005185112391960617), volum (0.0049873893000297155), 


listen (0.005484531540700464), better (0.005629314806480601), listen (0.005529005884834152), well (0.005584401166641776), listen (0.005490288206207684), price (0.005048836291872426), two (0.004979255378148185), wireless (0.005283160392964314), volum (0.004781473415805894), monster (0.004894416339361963), 


better (0.0053907688595595344), listen (0.005567932000635282), better (0.005225022685426745), better (0.0053825553408779914), better (0.00547784703643933), look (0.004696405172720326), wireless (0.004899190000260506), look (0.004980095871074308), look (0.004780851475935085), tri (0.004876126576607651), 


also (0.00503100007561804), dont (0.005005256280386518), realli (0.005069293587369672), also (0.0049699773951344065), fit (0.004936656151515941), product (0.004440310578165611), music (0.004825205537149107), problem (0.004837147136893074), studio (0.004612305770945979), would (0.004759529339048912), 


realli (0.00484436230079656), realli (0.004995025812745631), also (0.004908581158174773), fit (0.0048988870414062805), realli (0.004807267985925062), got (0.004423853088546891), pair (0.004704600727419565), volum (0.004804793843706559), product (0.004606708312108702), time (0.00449623296273163), 


dont (0.004837776144568798), fit (0.004987352962014966), dont (0.004838814522245204), realli (0.004869689217553657), also (0.00478611799731886), see (0.004386121283079582), look (0.004654602094814601), got (0.004701461386896568), got (0.004435363877700957), well (0.004430694646195345), 


fit (0.004734931771441931), also (0.0048198290543954485), fit (0.004766556220746722), dont (0.004836682981894171), dont (0.004690320990102536), two (0.00420950432131771), would (0.004595482090045218), time (0.004580961876559039), would (0.004372547950749298), nois (0.004323242290013763), 


much (0.0045725161297784115), much (0.004662535614416817), first (0.004508668834364209), look (0.004534548978549637), look (0.004471356402179509), music (0.0040296761420692585), tri (0.004589739003867621), dre (0.004408631069994133), fake (0.004304445534895766), also (0.0042215054846929025), 


first (0.004567563649021208), first (0.004615219701577716), look (0.0044962105065196436), much (0.0045256626843336225), much (0.004470112285202674), also (0.003966655998895135), come (0.004270490978112953), come (0.0043201547171983585), price (0.004288586068190149), music (0.004203596758662639), 


look (0.004447289116346258), look (0.00460626804239194), much (0.004486243844243991), first (0.004279385387489759), first (0.004385512330777868), better (0.003955416737692107), volum (0.0042258976030869035), price (0.004289452102235645), wireless (0.004176014951573809), two (0.004146822286779462), 


time (0.0041193834358738395), phone (0.004124157254815158), phone (0.0041685564842075615), time (0.004020413384623016), phone (0.0041789889126231956), well (0.0038398129081752452), got (0.004214073602133027), well (0.004205597648466516), come (0.004073705842825809), product (0.00405384932611171), 


phone (0.0040977340199923485), set (0.004028246620681846), set (0.004111248176122559), phone (0.004014066031611576), time (0.00406204191680067), hear (0.0037948558633631325), time (0.004202925258376514), real (0.004202626427663673), well (0.004073083902955), hear (0.003942586602689645), 


set (0.004088189238896646), time (0.003970700240201859), time (0.00409629818270908), set (0.0039696345605314985), even (0.003961268441677004), would (0.003783215199974282), well (0.004093806621002167), even (0.00417192381270096), better (0.003978238072656702), see (0.003820273814270184), 


even (0.004016937833924824), even (0.003914432668176983), even (0.004024039881210598), even (0.0038401485590981266), set (0.0038281479251556193), tri (0.003743476383577861), product (0.004045159302791933), also (0.004156077301752463), time (0.0039458971993746594), look (0.0037448285429086473), 


hear (0.003798038184456417), cord (0.0037686485042943488), ive (0.0037835941538104773), cord (0.003796986558620336), cord (0.003722397982124612), studio (0.0036900898928634764), phone (0.004044483645594568), product (0.004145512961120131), tri (0.003819643405600532), cabl (0.0037112973111924088), 


cord (0.0037851360073149222), littl (0.003671459061705926), cord (0.0037711358259659112), ive (0.0037144709694716194), hear (0.0036589480163060077), come (0.0036744352076164013), real (0.004033673130436738), would (0.004047792810271066), also (0.003757449418519681), phone (0.003578315494499599), 


ive (0.003767795892871518), ive (0.0036497193179690418), littl (0.003672715035993841), hear (0.0036840036750167083), ive (0.0036415303786303125), wireless (0.003599372998867606), hear (0.003978607068851541), hear (0.003870840104679516), need (0.003725730485108447), come (0.0035619309153655278), 


littl (0.003577736404072334), hear (0.003635652424962823), earbud (0.0036590108753648187), littl (0.0036294164391183262), littl (0.0035768362958348726), bad (0.003457276625086463), better (0.00394448638038464), bought (0.003808774603464569), real (0.003683127603958064), set (0.0035447842627833607), 


earbud (0.0035739416460895414), earbud (0.0035474146415601757), hear (0.003610423396771012), product (0.003586254438640536), earbud (0.0035606627751360127), fake (0.003455269614157351), price (0.003931986722233399), tri (0.003765196698356202), hear (0.0036165800377815534), head (0.003456002706080138), 


volum (0.0035297294996934135), volum (0.0034911470695352994), volum (0.0035419025936258997), earbud (0.0035735597326176562), bud (0.0035494657223444945), bought (0.003438812124538631), dre (0.003840097343391844), logo (0.0037582638498162347), nois (0.0035854830442411277), bud (0.0034419043472903557), 


product (0.00342773412326778), product (0.003369660266299771), bud (0.0034497109675761125), volum (0.003518972496719274), volum (0.0034797951716417134), phone (0.003340468589012134), need (0.0036870609881888123), need (0.003689595635706081), ive (0.003564026118698234), better (0.0034167559235031768), 


come (0.0034145875379850213), high (0.0032993258012686756), product (0.0033836818299999138), earphon (0.0034339179663659815), earphon (0.0034275422586146275), nois (0.003326419512508349), littl (0.0036823313878072616), music (0.0034720362458090072), dre (0.003501521161681979), realli (0.00336417285558453), 


earphon (0.0033487388392937846), come (0.0032967681843584537), earphon (0.0033786984988620873), bud (0.0033120487885463378), product (0.0033093511458152664), replac (0.003279856858952946), also (0.003681655730609897), return (0.003401387217830291), music (0.0034825519956223194), buy (0.0033283554035240023), 


bud (0.0033367113860262895), head (0.003292931758993121), come (0.003247886056494146), head (0.003246036317227364), come (0.0032259953083672963), return (0.0032617937605909364), way (0.0036444945847548564), replac (0.0033980858613826877), bought (0.0034324858360222344), wire (0.003223951341134805), 


high (0.0032440807004870055), bud (0.0032763072490766807), high (0.0031644152599355547), high (0.0032384194936136363), head (0.003168765927432869), right (0.0032373082272557675), never (0.003619157439853692), littl (0.003375966773183744), way (0.003318048899793468), ive (0.0032018512111400116), 


make (0.0032061717114182276), earphon (0.0032647979729806833), head (0.0031320236075396838), come (0.0032130300815678774), high (0.0031675218104560334), buy (0.003218442324522113), bought (0.00356172657807772), insid (0.003326776562114451), logo (0.003262385281356107), studio (0.0031622233918390022), 


head (0.0032034060403460228), tri (0.0032405006123335774), still (0.003095894456790443), make (0.0031698680810900866), make (0.0030878983239385695), cord (0.0031839217365413836), bud (0.0035502404057225255), never (0.0032990451679545812), phone (0.0032340870172343195), way (0.0030917315978900915), 


still (0.0031219409477866162), want (0.0031087833414571624), make (0.003094648624005986), want (0.0031508260220557676), nice (0.0030841659730080633), much (0.0031702740622234207), listen (0.0035502404057225255), better (0.0032937629976384154), listen (0.0032340870172343195), replac (0.0030898264142698506), 


want (0.003091132658400894), still (0.0030998316822713865), want (0.0030934027912215296), still (0.003075927256520778), feel (0.003010763071374776), listen (0.0031425773114016724), realli (0.0035448351481436103), control (0.003193731897276028), littl (0.0032107642720790005), return (0.0030570572560017087), 


tri (0.0030853569081152198), make (0.003079370746989613), tri (0.0030086861618784815), tri (0.0030492683738727313), still (0.003010763071374776), find (0.003066712298281232), nois (0.003525578918018726), pretti (0.0031475129070095784), never (0.003053102514829043), never (0.0030570572560017087), 


nice (0.0030153404074361027), feel (0.003023103174964737), nice (0.0029924903356805463), nice (0.0029946811379743493), want (0.0030032983695137635), never (0.003020551046911652), logo (0.0035110522882753916), differ (0.0030937007969136406), realli (0.003051858635087426), cord (0.0030364812729031074), 


feel (0.0028954517823526244), nice (0.0030192667495994043), buy (0.0029376736931644564), buy (0.0029591359611102863), tri (0.0029933454336990807), ive (0.003004494959478754), cabl (0.0034928095439465535), nois (0.003090729576110797), differ (0.0030359991683818087), listen (0.0030254312079057107), 
