S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
dont (0.0039786792894703415), fit (0.00396322806332038), fit (0.003956787145082872), look (0.003900199571604261), time (0.003982465706798412), dont (0.003921951889694731), fit (0.0039593618865392775), look (0.003984939492584249), much (0.003888192840370112), fit (0.003949331888220406), review (0.004149636850852329), phone (0.004235665881364078), month (0.004224854988829328), wast (0.004127991963716634), bass (0.003880243635888174), wast (0.004022552192229323), back (0.00385906283521727), phone (0.0041412430306821055), back (0.004256820117784549), tri (0.004205945873687729), 
,,,,,,,,,,,,,,,,,,,,
review (0.003952763010297119), time (0.003955449401737621), time (0.0038165811404385986), even (0.003847407170492002), fit (0.0038474450737413634), fit (0.00390546777241942), dont (0.003926790630371958), phone (0.003977092549021804), dont (0.0038316898688572185), time (0.0038644140669858436), wast (0.004071875336552517), cord (0.004183767063127991), better (0.00416209978050083), day (0.004098985430022839), headset (0.003825430845646859), return (0.003746767553281871), bad (0.0038198459993884076), much (0.004032856078591502), wast (0.0042237130311479085), music (0.004150735406963715), 
,,,,,,,,,,,,,,,,,,,,
fit (0.0039193377613474965), dont (0.0039048881014496868), dont (0.003806655051614225), fit (0.0037971900084583904), dont (0.003806295928428739), time (0.003758378725962796), look (0.003767842900275438), review (0.0037848424317419214), time (0.0038093514847707256), review (0.0037572869694283955), month (0.003990579207966349), even (0.004161759336407625), buy (0.004076307850127692), volum (0.003930022371256479), music (0.003822923070929936), come (0.0036949379575632085), music (0.0038144694977021924), headset (0.003998052928837639), music (0.004013465965496662), even (0.004057968983223947), 
,,,,,,,,,,,,,,,,,,,,
time (0.003736794017186926), review (0.003815433493247957), review (0.003670171330279092), time (0.0037328090314922217), even (0.0037522876752059202), even (0.003679762166649773), time (0.003746997296328353), time (0.0037547624814192183), review (0.00374759242288454), dont (0.0036998041365926917), could (0.0038896820365194847), well (0.004104604941641301), review (0.0040659810436938885), well (0.00388868806074282), month (0.0038100259438143325), back (0.0036805408476413577), better (0.003775568926678402), cabl (0.003961592486238353), return (0.0038622655595169503), back (0.004042240420029315), 
,,,,,,,,,,,,,,,,,,,,
phone (0.00369711358974467), even (0.0037389433210174923), even (0.003668930569176045), phone (0.0036491137614362017), review (0.003579975629209306), phone (0.003679762166649773), even (0.003710517489420955), dont (0.003705065172190405), even (0.0036556108413519227), even (0.003652772727908934), headset (0.00377368242221274), audio (0.003976500263716783), wast (0.004050093649180344), replac (0.0038778106106076467), phone (0.0037423160264574143), volum (0.0036421485545164224), bose (0.0036582346839968867), make (0.0037478017091789055), bad (0.0038182365473919326), money (0.004014956177752913), 
,,,,,,,,,,,,,,,,,,,,
even (0.003624338583581478), phone (0.0037389433210174923), phone (0.0036577637192486256), review (0.0036104851752565004), phone (0.003538826483896682), littl (0.0036442579140567952), review (0.0036948832864606416), make (0.003605670553732778), make (0.0036135621183655832), phone (0.0035861448989402776), audio (0.003730624393633505), wast (0.003967303004788868), headset (0.003844749075092788), bad (0.0038767228655941293), audio (0.0037369422234925795), earphon (0.0036405488756362167), bass (0.0036051021967448797), also (0.003714655852270464), earbud (0.0035909239731650978), day (0.003970017425768251), 
,,,,,,,,,,,,,,,,,,,,
make (0.0035899213239457993), high (0.003588555863750816), littl (0.0035845588141688724), realli (0.0035267899052004808), make (0.00351825191124037), review (0.003625237778739128), make (0.0035854438657384477), even (0.0035847453708995934), phone (0.0035426048983261357), littl (0.003462034237135917), music (0.00370781006505794), music (0.0038651477359823933), music (0.0038165489498312474), set (0.003809282674756054), replac (0.0037179547863501632), earbud (0.0035708028764592508), wast (0.003600674489473879), could (0.0036533360169898475), much (0.0035045724997726214), first (0.003797966203884114), 
,,,,,,,,,,,,,,,,,,,,
set (0.0034911473710522124), littl (0.0035224372402973634), make (0.003582077291962779), make (0.003513913709807247), realli (0.00346681547959959), make (0.00357832144495555), littl (0.0035242099041438864), set (0.0034448082107026716), set (0.003449309294200195), set (0.0034267606806230987), also (0.003696884893627388), earbud (0.003783357826230585), disappoint (0.0038141658406542155), first (0.0037820890494181204), volum (0.0036556186719580797), bose (0.0035423285923915906), two (0.0035788522179239475), audio (0.0036006341045054257), plug (0.0034875069911970333), replac (0.0037488545677865897), 
,,,,,,,,,,,,,,,,,,,,
volum (0.003447774459389636), make (0.003518547909505984), realli (0.003556021308798799), high (0.0034482451133017547), littl (0.0034230945127049265), realli (0.0034210883263295043), realli (0.0034304046863820057), realli (0.0034173439082341166), high (0.0034348550456736408), make (0.0034176156844901457), bose (0.0036625027364782974), earphon (0.0037639778877753376), cord (0.003797881261277833), earphon (0.003746556045643221), return (0.0036076126988055556), last (0.003525371996261411), look (0.003577903423508733), week (0.003552241153419101), phone (0.0034827286487958686), month (0.003727027173965468), 
,,,,,,,,,,,,,,,,,,,,
realli (0.0034104500573267646), realli (0.003273520069649072), high (0.0033984446487118724), littl (0.003446957493762431), high (0.0033973762968845366), cord (0.0034008001819906594), high (0.0033639593238006735), high (0.003384648310057266), realli (0.003411202638993825), realli (0.003413696400433166), much (0.0035905251364652477), bad (0.003544557567637957), set (0.0037859657153926753), week (0.0037403921572332893), first (0.003600805881716765), music (0.0035154539872041357), earphon (0.003548807061442158), first (0.0035214155064942506), disappoint (0.003412760063635957), bose (0.003688187252607295), 
,,,,,,,,,,,,,,,,,,,,
littl (0.0033641011136060187), come (0.0032449983105122884), set (0.0032954614771589993), audio (0.003276991714571745), set (0.003378087635019244), set (0.0033614919023341482), set (0.003284485458752414), littl (0.003380724838276044), hear (0.003325791170427823), audio (0.003251699326078001), volum (0.003491234607875818), listen (0.0034424022988314815), could (0.0037565740355426187), could (0.0037106604601971484), week (0.0035882670081321504), replac (0.0035135343725478893), earbud (0.003523822141841512), set (0.0035157807108198154), bass (0.0033912575228307157), price (0.0036467794025642846), 
,,,,,,,,,,,,,,,,,,,,
high (0.0033615384193337065), set (0.003221662325764011), cord (0.0032582386440675997), volum (0.0032718412364144515), come (0.003339510311288659), high (0.0033576878752706145), cord (0.003215434395677696), cord (0.0033349510008284524), come (0.003308708876714623), come (0.003224264337679142), week (0.003478060136444858), first (0.0034207230456442554), listen (0.0036683989959924493), audio (0.003634155727579762), purchas (0.003569279570989734), day (0.0034793012445114885), well (0.003480810128351792), wast (0.0035111402908526335), could (0.0033888683516301336), could (0.003600556686237203), 
,,,,,,,,,,,,,,,,,,,,
cord (0.00335841083008739), volum (0.003181472574253089), come (0.0032061266777396397), set (0.003270553616875128), volum (0.0032572120206634104), come (0.0033412037579953033), volum (0.0032050115937041538), come (0.0032891771633808613), littl (0.003257461995575022), high (0.003212506485508203), replac (0.0034697055935862), look (0.0034171098367797178), earbud (0.003653703156067421), last (0.0036026111221877594), two (0.00355315816209523), week (0.0034597851621729794), also (0.0034052228399397105), listen (0.0035094829980072116), cord (0.00336497663962431), disappoint (0.0035591488361941927), 
,,,,,,,,,,,,,,,,,,,,
come (0.0033435031139441534), best (0.003159433033101938), audio (0.0031651815613390998), cord (0.0032589650410212176), audio (0.003182629194784279), audio (0.0031979187386022134), nice (0.0031633203858099845), volum (0.0032368642062978997), earphon (0.0032140992499953593), cord (0.0032112000574892096), set (0.0034436779792957673), price (0.0033937882159267925), price (0.0035722802591855083), back (0.0034898482224531287), wast (0.0035467095985374283), audio (0.0034466677953552934), return (0.0033856144220252796), music (0.0034670563011644064), headset (0.0033400609971039512), return (0.0035029753962133644), 
,,,,,,,,,,,,,,,,,,,,
nice (0.0032055860727299252), hear (0.0031075752892168775), earphon (0.003115551117217233), come (0.00322548693299881), cord (0.003169770086874084), volum (0.003176362585242191), come (0.003104692124708809), audio (0.003215939023464715), volum (0.0031641663914490814), earphon (0.0031968293492802835), return (0.0034202209935772286), week (0.0033576561272814155), right (0.0035532153857692553), phone (0.003465192668813402), set (0.003516258048403364), much (0.0034444282449230053), phone (0.003283460889987195), look (0.003417668974370829), two (0.003282720888289975), side (0.0034878888151899418), 
,,,,,,,,,,,,,,,,,,,,
audio (0.003141284491176798), earphon (0.0030842393044686), nice (0.003074606000816693), nice (0.0030825611641339145), hear (0.003068183134383543), nice (0.0031383223146068573), head (0.0030017669552200787), nice (0.0031636260663817535), nice (0.0030945231940029566), nice (0.003192910065223304), bass (0.0033800549221413754), volum (0.003348458868353501), two (0.003478941816418437), earbud (0.0034046415297276033), much (0.0035112424989695184), phone (0.003433870364313648), much (0.0032771355938857652), earbud (0.0034087195930055498), listen (0.0032308417422201867), volum (0.003485320886505104), 
,,,,,,,,,,,,,,,,,,,,
want (0.003092262629774178), audio (0.0030751641992887145), best (0.00303117936221006), head (0.003002728752695865), best (0.003068183134383543), hear (0.0030039133583620115), want (0.0030017669552200787), earphon (0.0031270069964236804), cord (0.003084011013256372), volum (0.0031092986720077345), first (0.0033549912935654028), could (0.0033261226680999954), last (0.003470203749435988), right (0.0033883253545248433), well (0.0034073489749827128), well (0.0034239523552563734), purchas (0.0032746054754451935), price (0.0033543603876757056), realli (0.0032287938811911164), phone (0.0034166287941856913), 
,,,,,,,,,,,,,,,,,,,,
best (0.003038322048719862), cord (0.003069978424900208), hear (0.003028697840003967), around (0.002969250644673457), want (0.003057895848055387), around (0.002970945123811389), earphon (0.0029796185010263015), best (0.003000148075497499), audio (0.003023565973963509), best (0.0029864944382223674), make (0.0033472794078497187), much (0.0032771801116621663), first (0.0033323806020309934), much (0.003372734342664428), back (0.0033403555646877724), make (0.003397717621621001), volum (0.0032739729458350505), volum (0.0033119336908329004), make (0.0032182132658742516), week (0.00337586292631389), 
,,,,,,,,,,,,,,,,,,,,
head (0.003025439687727324), nice (0.003029788673389286), want (0.002991475006912567), best (0.0029537992102015766), ive (0.0030540381156823285), want (0.0029671410967478553), ive (0.0029587728970792166), head (0.0029478351184145375), want (0.0030209379287768627), head (0.0029616723058614952), earbud (0.0033100052935572466), return (0.0032348070258871333), also (0.0033236425350485444), purchas (0.0033640323825562895), amazon (0.003296290380376127), bud (0.003372762631089793), audio (0.0032720753570046218), return (0.0032960236795168485), look (0.003214800164159134), wast (0.003368480131344981), 
,,,,,,,,,,,,,,,,,,,,
hear (0.0029880050622548907), still (0.0030284922297921595), volum (0.00296790054595468), ive (0.0029409230148083427), nice (0.003042464918563153), best (0.0029531929975149), best (0.002952258645845753), earbud (0.002922986463800131), earbud (0.003007797702843632), hear (0.002885899480759886), well (0.003283013693552353), day (0.003222981978694101), make (0.003275583166645074), price (0.003274474709776695), disappoint (0.0032629728019941515), two (0.0033074957327774027), come (0.0032401326116924035), bass (0.0032575744855030567), also (0.0032110457522725043), listen (0.0033659122026601434), 
,,,,,,,,,,,,,,,,,,,,
earbud (0.0029327004665072472), earbud (0.003027195786195033), still (0.0029554929349242137), hear (0.0029370601561903727), earbud (0.0030038875948325675), still (0.002916420735900744), earbud (0.00295095579559906), around (0.0029164473441647605), head (0.002995971499503724), ive (0.002880673768683913), back (0.0032820497078378925), realli (0.003206886775570251), purchas (0.0032541351840517894), listen (0.0032672230763532463), bud (0.0032063687440978916), devic (0.00329821759527221), first (0.0032268494898794018), replac (0.0032479621869996086), come (0.003192615003010869), last (0.0033328501208428557), 
,,,,,,,,,,,,,,,,,,,,
around (0.0029049930569286443), head (0.002999970470655376), head (0.00291578857962672), want (0.002917745863100522), head (0.0029730257358480997), head (0.0028974006005830773), hear (0.002907961737458198), want (0.0029164473441647605), best (0.002940782550584153), product (0.002857158064342034), two (0.003195290993536449), disappoint (0.0031543310102678844), replac (0.003177081320661101), poor (0.0032664979130109014), year (0.00319992018054009), amazon (0.0032585455590431103), cord (0.0032113525144308996), cord (0.003237355512788907), price (0.0031557535044875987), amazon (0.0033039609231384297), 
,,,,,,,,,,,,,,,,,,,,
earphon (0.002892028028378935), want (0.002989598921878364), ive (0.00288973259646274), still (0.0028765420378421736), earphon (0.0029421638768636314), earphon (0.002892328564498366), still (0.0028858132832644207), product (0.0029086004006023164), ive (0.002911874053531045), around (0.002846706640190088), last (0.0031827591792484627), got (0.003142177489541712), phone (0.0031349797252002093), disappoint (0.0032664979130109014), poor (0.003192038602858332), cord (0.0032291114676473265), week (0.003171819413796966), amazon (0.003214816330091167), first (0.003149609921400387), look (0.003268972894807514), 
,,,,,,,,,,,,,,,,,,,,
tri (0.0028424137161499204), product (0.002929962516410544), earbud (0.0028475467189591538), case (0.002857227744752323), bit (0.0028958710883869292), ive (0.00288979254645601), audio (0.0028519391768504084), hear (0.0029072925766752424), around (0.0028304046527450125), bit (0.002833642360000155), hear (0.003152232964957214), bud (0.0031080162420951737), well (0.0031246529187664057), amazon (0.0032632346779703494), last (0.0031583627709453675), bass (0.003205756155996324), set (0.003163280264060036), well (0.0031975804844987777), day (0.0031332270331678224), two (0.0032192192765387803), 
,,,,,,,,,,,,,,,,,,,,
ive (0.002836888767745634), ive (0.002872918998136977), bit (0.0028115646469708006), earphon (0.0027954220068648005), still (0.0028290037272539147), case (0.0028809164833077656), around (0.002799825166982697), ive (0.0028484404999569108), still (0.0027568193875189186), want (0.002816658795753243), realli (0.0030976071078044533), replac (0.0030866654624410873), star (0.0031167092215096336), music (0.0032527198095063485), piec (0.0031569297568214117), set (0.0031705632206318), price (0.0031405091980948904), day (0.0031952602745151867), right (0.0031185506957928165), cord (0.003202848731172939), 
,,,,,,,,,,,,,,,,,,,,
still (0.0027776299071799603), around (0.0028586581185685855), product (0.0027495265918184675), earbud (0.0027941343873254774), tri (0.0027865686711502713), earbud (0.002873308429180699), product (0.002765951060568684), case (0.0028458248521027623), tri (0.00273185295824578), earbud (0.0027866109513163977), day (0.0030484438363669684), purchas (0.003068270944585259), soni (0.003089700650836609), cord (0.003249819156136969), day (0.003121462657253502), purchas (0.0031542464960537028), disappoint (0.003131021253942746), right (0.003165429003297589), volum (0.0031096766313335107), well (0.003174280524554118), 
,,,,,,,,,,,,,,,,,,,,
product (0.002771305839056351), bit (0.002765314179575476), around (0.002732155936375814), bit (0.0027542181816064526), case (0.0027762813848221154), tri (0.0027782077525923647), case (0.0027294712536612862), still (0.002797435366801023), product (0.0027173987097192254), case (0.002765708103012505), bud (0.003033984050650061), also (0.003036409011870699), thing (0.0030626920801635838), bass (0.0032418423593711747), cord (0.003099250938332185), realli (0.003122892790001672), still (0.0029577081407635808), side (0.0030159411886405184), amazon (0.0031083113906474635), also (0.0031508481753049723), 
,,,,,,,,,,,,,,,,,,,,
bit (0.002763011527486824), feel (0.0027458675256185785), tri (0.002657710270193014), product (0.002711726736808781), product (0.0027762813848221154), product (0.0026957871662158087), tri (0.0027138370507009727), bit (0.002647035615187509), case (0.002700316416006025), still (0.0027121445542337814), right (0.0030034578363588127), made (0.0029904227172311286), look (0.003034094770039205), return (0.0032121106623350343), earphon (0.003096743163615262), first (0.0031158542029287675), day (0.0029399973116795786), thing (0.002978817828903064), set (0.003040731976688134), bass (0.0031492432198769486), 
,,,,,,,,,,,,,,,,,,,,
case (0.0026076791875618275), bought (0.0027095671048990356), case (0.0026403396147503607), feel (0.0025945533587303535), around (0.00271198584527114), bit (0.002693251148173453), bit (0.002695597147247274), tri (0.0025907991863233252), bit (0.002639871376713162), feel (0.0026912417059298892), listen (0.0029851421077840634), batteri (0.002974984461173558), week (0.002997950947520892), two (0.0032041338655692405), make (0.003096026656553284), look (0.003112334909392315), listen (0.002936834663628864), still (0.002968542613261447), last (0.0030113793019381227), know (0.0030834400473279786), 
,,,,,,,,,,,,,,,,,,,,
differ (0.002607444962816509), case (0.002655116473819722), feel (0.0025758200373919345), differ (0.00258940288057306), differ (0.0027081281128980813), differ (0.0026856430940463863), differ (0.002578340625044923), differ (0.0025698740034901407), differ (0.0025925665633535306), tri (0.002580195324315461), year (0.002958793164922143), cabl (0.002965787202245644), plug (0.0029641902341796113), receiv (0.003055112798717365), look (0.003091727614181416), also (0.0029888396998404396), cabl (0.0029238678066209334), call (0.002930093419247655), well (0.002974517803414852), audio (0.0030734893236742315), 
,,,,,,,,,,,,,,,,,,,,
feel (0.002571374352037403), differ (0.0026460413686398366), bought (0.002565893948567561), tri (0.0025816771633371195), bought (0.0026309734654369112), feel (0.002468813551424984), feel (0.0025666149728246876), feel (0.002547640996729882), feel (0.002584682427793592), differ (0.002548841051859623), disappoint (0.0029266603077734606), back (0.002962502466914246), back (0.002956643721785678), look (0.0029851345361810826), earbud (0.0030773974729418566), star (0.0029859602778560695), make (0.002915961186494147), year (0.002831650224229584), bose (0.0029315127218043696), make (0.0030295135449463833), 
,,,,,,,,,,,,,,,,,,,,
bought (0.0025156013067991214), tri (0.0025721440836036246), differ (0.0025423194876096743), buy (0.002555924772550652), feel (0.0025782511230051115), buy (0.00245993748827674), beat (0.002545769368877603), buy (0.002509714102844735), bought (0.0024427679877146967), buy (0.002520099635441771), look (0.0029250536649160263), still (0.002941808634326439), bud (0.0029558493520600005), got (0.0029612041458837012), come (0.00300216423143417), listen (0.002985000470527946), last (0.0028558708735305677), last (0.0028048020801337463), year (0.002918201625115411), plug (0.002993883534444258), 
,,,,,,,,,,,,,,,,,,,,
bose (0.002505515864824215), need (0.0023971241979915446), buy (0.0024343732716446144), bought (0.002518583805910274), buy (0.0025023823863349606), wear (0.0024548654521920287), buy (0.0025079867117235124), bought (0.002480941976449106), wear (0.0024388259199347273), design (0.0024782939388339866), cord (0.0029192697506292636), bass (0.002932611375398525), realli (0.002937181663506586), realli (0.002955402839144942), also (0.002989625357849555), bad (0.0029773220119029588), replac (0.0028552383439204247), come (0.002769998930379883), turn (0.0028984056351677285), right (0.0029271173886384733), 
,,,,,,,,,,,,,,,,,,,,
buy (0.0024512997252459944), buy (0.002395827754394418), wear (0.0024269287050263347), beat (0.0025005571323597465), wear (0.002386650415143205), bought (0.0024548654521920287), wear (0.0024389356486487945), design (0.0023959334211892938), buy (0.002432255806968112), bought (0.0024600039465680805), earphon (0.002834439007756741), seem (0.0028849827130932554), return (0.0029169252355018176), bose (0.0029307472855052154), cabl (0.002946993187661866), poor (0.0029456483700748873), way (0.002838476309251637), back (0.0027663528861199545), batteri (0.0028857771588217934), purchas (0.0029104258521870274), 
,,,,,,,,,,,,,,,,,,,,
wear (0.002422834529726654), wear (0.0023698988824518877), recommend (0.0023636498887709546), wear (0.002458065687562075), hour (0.0023673617532779124), bose (0.002423165226662584), design (0.0024389356486487945), right (0.002348851759814628), bose (0.0023888930613884495), recommend (0.0023763925533525116), fit (0.002824799150612136), set (0.0028639604069723087), day (0.0029073927987936913), piec (0.002909354966906041), listen (0.002944127159413954), plug (0.002928051902392625), around (0.0028141239192611333), disappoint (0.0027564091290474216), need (0.0028792922655630697), realli (0.0029081789145877944), 
,,,,,,,,,,,,,,,,,,,,
recommend (0.0024122668603349146), beat (0.002360823777272002), design (0.002330149338988695), cancel (0.0024464771117081647), beat (0.0023467871806216), recommend (0.0023940010191754947), hour (0.002388124489027776), wear (0.002342312640179258), beat (0.002333704112468879), bose (0.002375086125333518), still (0.00277981315060398), last (0.002832098474257749), earphon (0.0028541700271733188), wire (0.0028955768634014883), nois (0.002892896904482529), better (0.0028743026920177157), littl (0.002796413090177131), turn (0.002687797205246948), side (0.0028605202061299227), fit (0.002814449517591212), 
,,,,,,,,,,,,,,,,,,,,
design (0.002382093201967366), recommend (0.0023348949053294717), bose (0.002321464011267368), bose (0.002420724720921697), need (0.002326212607965288), right (0.0023458166763707386), bought (0.002388124489027776), need (0.0023318500487626657), right (0.002323191931722294), beat (0.0023711668412765385), purchas (0.002757320150599902), make (0.0027775718677565437), ive (0.0028263670867746168), charg (0.0028596812779554163), plug (0.0028753424814640686), receiv (0.002820233545866765), realli (0.0027379041012389094), piec (0.002655977182614844), bud (0.002847209109440964), littl (0.0027467203985286136), 
,,,,,,,,,,,,,,,,,,,,
