S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, 
cancel (0.002370657523225327), bose (0.002325819800149586), need (0.002314019444649088), recommend (0.0023447551681016177), rang (0.002285063462652664), hour (0.0023001683516083384), bose (0.002364673184587306), hour (0.002309617042002407), need (0.0023153077961623556), hour (0.0023254418606117743), cabl (0.002690162479159155), come (0.002776914920690264), year (0.002787442970216434), make (0.0028161714774147225), never (0.0028044082823282497), year (0.002819913610090724), connect (0.0027129191816382633), earphon (0.002633437999917104), replac (0.0028390176653246817), made (0.0027380536392172857), 
,,,,,,,,,,,,,,,,,,,,
right (0.0023504866392755138), cancel (0.002318041138566827), cancel (0.002311537922442995), design (0.002325440875011767), bose (0.0022773479979065468), need (0.0022989003425871605), thing (0.0023555532328604564), recommend (0.002300462274512889), hour (0.0023034815928224474), wear (0.002324135432592781), side (0.0026728107362988664), year (0.0027700169764943283), come (0.002769569651388697), bud (0.0027860771987074096), hear (0.0027571188162377035), price (0.0028035968855126265), got (0.00271007279839262), purchas (0.0025777529603109224), still (0.0028171738143479286), receiv (0.0027011396643727417), 
,,,,,,,,,,,,,,,,,,,,
way (0.002311687999109753), hour (0.0022752584998616517), beat (0.002304093355824715), soni (0.002285524669292742), thing (0.0022632029792053325), way (0.002296364324544805), need (0.002343827580640221), year (0.0022873840352421486), design (0.002281143208735955), right (0.0023149904364598278), come (0.002658350950581959), turn (0.0026928256962064773), left (0.002753682256875153), plug (0.0027766500752569256), batteri (0.002671496222331336), hear (0.0027530470328981285), feel (0.002692678234113689), wire (0.002540629600573468), fit (0.002795329963371176), cabl (0.002685732092263714), 
,,,,,,,,,,,,,,,,,,,,
hour (0.0023103928740474014), right (0.0022648869510846397), hour (0.0022867227003820615), thing (0.002252046561270334), year (0.0022490579605041177), year (0.0022874882613965605), cancel (0.002307347773732823), bose (0.002267766676336038), cancel (0.002273259073176016), say (0.0023123775804218412), design (0.002581874750568094), fit (0.00268855554027566), wire (0.002728659610516321), also (0.0027708487685181664), run (0.00265931560227771), still (0.002735130629439825), ive (0.0026835065547666163), littl (0.002533337512053611), purchas (0.00275744453433337), bud (0.00267257145775392), 
,,,,,,,,,,,,,,,,,,,,
rang (0.002292261123174482), thing (0.0022545154023076277), rang (0.0022681112838363617), right (0.002252046561270334), right (0.002237484763384942), beat (0.0022672001170577155), recommend (0.002302136372746052), beat (0.00225861190884652), clear (0.002271945050582693), year (0.002257507603624124), star (0.0025760908362813307), wire (0.0026816575960797247), hear (0.002704034149020328), year (0.002763234553423545), star (0.0026363873762944154), littl (0.0027338508863356606), bud (0.002679711377105759), got (0.002515107290753968), jack (0.0027420855766153406), earbud (0.0025968175615512035), 
,,,,,,,,,,,,,,,,,,,,
year (0.0022406076778685737), say (0.002233772304753603), clear (0.002237092256260195), hour (0.0022404579854164238), cancel (0.0022246256554747474), design (0.0022583240539094714), way (0.0023008335224993593), way (0.002232455430305039), say (0.0022390944857496155), rang (0.0022548947475861374), poor (0.0025131104362699124), doesnt (0.002649467189832025), bose (0.0026746424691702713), put (0.0027585209916983033), cheap (0.0026163251785590322), disappoint (0.002723932877278386), right (0.0026743348754195437), bud (0.002509472495079533), never (0.002703176217063), cancel (0.0025964965704655986), 
,,,,,,,,,,,,,,,,,,,,
need (0.0022129416020685564), year (0.002225993643170844), right (0.0022246846452297284), year (0.0022365951267984538), way (0.002209194725982513), thing (0.002235499891528271), rang (0.0022878050200324314), rang (0.0022115302474718544), recommend (0.002210185988696507), need (0.0022535883195671444), got (0.0024999359648389527), never (0.002596254477463379), way (0.0026655072173249836), side (0.002717549262855817), got (0.002610234868532219), right (0.002642669190163939), star (0.0026661119904876854), two (0.0025045006165432667), devic (0.0026338902522461114), got (0.0025852618824694328), 
,,,,,,,,,,,,,,,,,,,,
soni (0.002204192618934587), design (0.0022104363200053257), thing (0.0022172400786114486), say (0.0022250065509445433), say (0.0021847624209531424), rang (0.0022025316569776487), right (0.0022565366141118043), long (0.0022076067756906324), thing (0.002208871966103184), thing (0.002240524039377212), new (0.002441132836256863), two (0.002573589803676733), amazon (0.0026321436888465414), fit (0.0026823788407520895), wire (0.0026052193190983734), start (0.002624752786705636), amazon (0.002652196339064541), receiv (0.0025001916551451696), wire (0.002580645865490276), never (0.002541607094827189), 
,,,,,,,,,,,,,,,,,,,,
thing (0.002193666283321433), long (0.002158578576120265), way (0.002196147139859655), way (0.0022056922578546924), recommend (0.0021821905993711036), say (0.002199995638935293), long (0.002234388159918027), thing (0.0021749111775137813), pretti (0.002198359785356599), cancel (0.002209169766921373), around (0.002440811507685376), piec (0.0025036249411179573), volum (0.002582892765854555), way (0.002682016259080917), fit (0.0025794250648671665), differ (0.002618993942736896), head (0.002644289718937754), hear (0.0024905793566417215), poor (0.002568017389144341), cheap (0.002521705647519696), 
,,,,,,,,,,,,,,,,,,,,
beat (0.0021809079236646523), clear (0.0021507999145375057), year (0.0021762949622109087), need (0.0021992541601580755), design (0.0021564723835507133), long (0.0021061629713681365), say (0.002223965357944485), clear (0.0021644485860971893), rang (0.0021917896723899835), way (0.002179121922484528), cheap (0.0024353489219701), connect (0.0024612518553429243), got (0.002571771589695074), still (0.0026711388089457437), head (0.0025747677689643097), got (0.0026129151629921145), never (0.002506398263926593), put (0.0024882591466581306), someth (0.002540371265251888), poor (0.00251047095952353), 
,,,,,,,,,,,,,,,,,,,,
could (0.0021749696374745095), rang (0.0021352425913719877), say (0.002156442784562162), rang (0.002196678921079429), could (0.002134611900103382), seem (0.0021010909352834253), year (0.002222662507697792), say (0.0021369842836286342), year (0.0021917896723899835), soni (0.0021765090664465415), plug (0.0024231384362536005), head (0.002442857337487096), cancel (0.002543968649296372), ive (0.002618564466625739), right (0.0025715434871854087), need (0.0025681241543463566), wire (0.002488054905232448), realli (0.002475000803894754), week (0.0025386647143943292), come (0.0024851126637607563), 
,,,,,,,,,,,,,,,,,,,,
say (0.002136377666201677), way (0.0021144994938179632), could (0.0020981270127189687), clear (0.0021580503348997276), soni (0.0021178950598201283), could (0.002096018899198714), seem (0.002167942797336695), cancel (0.0021356764597015602), way (0.0021865335820166914), without (0.0021412355099337233), cant (0.0024051440362503384), amazon (0.0024385871815562786), didnt (0.002520931927251733), batteri (0.0026022482914229788), ive (0.002516730696944094), cabl (0.0025428492280391074), batteri (0.002484892257181733), issu (0.0024647255882531372), want (0.0025233057566762997), seem (0.0024632852699396344), 
,,,,,,,,,,,,,,,,,,,,
clear (0.0021227512971945966), could (0.0020678275243214087), without (0.0020819971183793622), pretti (0.002150324617663787), long (0.002092176843999738), pretti (0.0020884108450716474), first (0.002144491492896225), soni (0.002091210446181043), could (0.0021655092205235217), long (0.0021386226538957368), never (0.0023598367076706956), charg (0.0023952286751818264), never (0.0025165628937605087), broke (0.002594271494657185), bose (0.002516372443413105), old (0.0025354907051901615), seem (0.002467181428097731), new (0.002419315764288572), plastic (0.0025035097667286178), doesnt (0.0024575074303987495), 
,,,,,,,,,,,,,,,,,,,,
long (0.0021065209001366186), seem (0.0020522702011558907), long (0.002079515596173269), bluetooth (0.0021490369981244637), frequenc (0.0020780318252985237), cancel (0.0020820707999657587), soni (0.002130160140182604), pretti (0.0020676696154937105), soni (0.0021549970397769366), clear (0.002116413377572851), didnt (0.0023572660790988006), littl (0.002388330730985891), piec (0.0024800218863793573), thing (0.002574692084413873), made (0.002484846132686074), know (0.0025351707694141203), doesnt (0.0024266995330485827), seem (0.002418984305719488), piec (0.002499755354841988), piec (0.0024453097691457693), 
,,,,,,,,,,,,,,,,,,,,
lot (0.0020717591923460595), first (0.0020470844267673842), frequenc (0.0020733117906580356), frequenc (0.0021310103245739363), clear (0.0020626008958062893), clear (0.002079534781923403), clear (0.002110617386482212), without (0.002053283552295896), long (0.0020511892549044115), wire (0.0020942041012499656), piec (0.002321598607663763), side (0.0023682938454643635), littl (0.0024609570129631047), around (0.002542784897350698), devic (0.002484129625624096), ive (0.0025002977698256375), new (0.002411202557600081), way (0.0023835182388274555), know (0.0024038471966471827), design (0.002416099580355739), 
,,,,,,,,,,,,,,,,,,,,
pretti (0.0020603097356778253), pretti (0.0020457879831702577), pretti (0.0020472558074940556), long (0.002119421748720026), without (0.002053599520269153), lot (0.0020769987638810474), without (0.0020585033766145006), first (0.002050667904441748), without (0.0020130825996980415), first (0.0020928976732309725), thing (0.002319670636234842), bluetooth (0.0023456291716777177), cheap (0.002451424576254978), cheap (0.0025112402919586947), give (0.0024246595394799247), charg (0.0024970984120652262), hear (0.0023953893173465075), poor (0.0023626363489751374), order (0.0023755184524117063), hear (0.0024106427319004584), 
,,,,,,,,,,,,,,,,,,,,
bud (0.002052607874934693), bud (0.0020457879831702577), seem (0.0020398112408757754), without (0.00204860267405724), pretti (0.0020343108584038603), first (0.0020617826556269137), could (0.0019868466130463975), could (0.002021895778046119), plug (0.001986802147831579), lot (0.002090284817192986), turn (0.0023171000076629474), poor (0.0023413590157469006), connect (0.002427593484484662), cabl (0.0024927486267289), littl (0.002359815650370918), stop (0.002491979439648568), plug (0.0023922266692957927), custom (0.0023172265250105727), receiv (0.0023618660455512358), way (0.0023647410066589816), 
,,,,,,,,,,,,,,,,,,,,
without (0.002031596537486971), without (0.0020302306600047397), soni (0.002038570479772729), could (0.0020383017177426532), control (0.0020278813044487627), soni (0.0020592466375845583), pretti (0.001959486757865849), bud (0.001989200179869268), lot (0.0019684058315250557), pretti (0.0020628498287941274), way (0.0023055321790894216), thing (0.0022986574564387275), still (0.0024184582326393744), come (0.002492023463386555), still (0.0023512175656271827), batteri (0.002458706118940291), year (0.002388431491634935), plug (0.002312917563612475), got (0.0023567463929785593), new (0.0023502964078067684), 
,,,,,,,,,,,,,,,,,,,,
bluetooth (0.0020158345899196303), plug (0.0020068946752564622), first (0.002007551452196562), lot (0.002026713141888743), seem (0.0020227376612846847), without (0.0020034542406527356), lot (0.0019308240524386075), end (0.0019630437013277873), bud (0.0019657777863384095), could (0.0020367212684142618), anoth (0.0022621528219386997), plug (0.0022858469886462758), want (0.002380328485806869), new (0.002439086539395378), call (0.0023089436489704823), fit (0.00244142958703407), cancel (0.0023659766904748606), left (0.002292698590898326), old (0.0023342199216587825), soni (0.0023336048713553225), 
,,,,,,,,,,,,,,,,,,,,
first (0.0019525939086835356), end (0.0019654084801484137), lot (0.002007551452196562), first (0.0019893721752483645), lot (0.0019841603375540997), end (0.0019920421594621356), plug (0.0019204012504650653), seem (0.001949965462057047), first (0.001956579628185148), bluetooth (0.002023656988224329), complet (0.002239017164791648), star (0.0022756643091189424), cant (0.002379136931218353), run (0.002434372977670136), thing (0.0022971212824478456), thing (0.0024407897154819875), wear (0.0023172719104938544), fit (0.002285406502378469), cancel (0.0023226153758273828), still (0.0023332838802697176), 
,,,,,,,,,,,,,,,,,,,,
mid (0.0019410617844581302), love (0.001926515172234618), low (0.001949235680353369), seem (0.001976495979855131), wire (0.0019610139433157486), bud (0.0019869701233774244), bud (0.001891738545037824), plug (0.0019395028706404548), mid (0.0019394973344719474), frequenc (0.0020001412838824505), littl (0.0022325905933619113), right (0.0022559558971305548), head (0.0022961252948850855), turn (0.0024332852326566187), cant (0.0022921057330139998), wire (0.00241871414693515), left (0.0022897568724526366), star (0.0022704908667696704), hear (0.0023202262046268), want (0.0023284690139856465), 
,,,,,,,,,,,,,,,,,,,,
wire (0.0019329190300767507), soni (0.0019083649618748468), plug (0.001915735130571109), though (0.0019185531005855789), first (0.001959728032524729), control (0.001981898087292713), end (0.0018278988829498774), lot (0.0019342715749321585), seem (0.0019368692892853014), bud (0.0019648677273696323), want (0.002218452136216491), find (0.0022480725323351996), around (0.0022838125641370887), littl (0.0024195071291520658), someth (0.0022788503523674076), never (0.0024103958167580805), devic (0.0022853291651816357), charg (0.002251266269762774), earphon (0.0023089629689669123), old (0.0023246171209583897), 
,,,,,,,,,,,,,,,,,,,,
seem (0.0018995626707581047), frequenc (0.0019005863002920878), bud (0.0018884383863040824), bud (0.0019108273833496384), bud (0.001952012567778612), plug (0.001970486006102113), overal (0.0018187789312230278), play (0.0018767273221409009), end (0.0019302991763186857), control (0.0019335134549137937), amazon (0.0022043136790710705), devic (0.0022434739028712428), know (0.0022758688668803166), never (0.002404278698962823), around (0.0022684609999687267), anoth (0.0023457687899977727), need (0.0022628743640215614), devic (0.0022035362358146186), hour (0.0023004302146791182), head (0.002296690896510778), 
,,,,,,,,,,,,,,,,,,,,
connect (0.0018727232705298012), find (0.0018966969695007082), think (0.0018760307752736158),,,,,,,,,,,,,,,,,,
 wire (0.0018915130902597878), end (0.0019327239059133193), though (0.001940053789593846), control (0.0018083561292494856), overal (0.0018688803785784566), wire (0.00190664676963887), end (0.001906078466514935), someth (0.002202707036213636), cancel (0.0022418315352055436), batteri (0.0022703082788005763), made (0.002403553535620478), feel (0.002240517224551586), around (0.0023425694322373614), receiv (0.002258446656750561), made (0.0022025418601073652), didnt (0.0022666405076994535), year (0.0022889871104562645), ,,,
,,,,,,,,,,,,,,,,,,,,
frequenc (0.0018355642035812723), lot (0.001886325420723696), end (0.001853697075418776), overal (0.0018915130902597878), plug (0.0019185788872121048), mid (0.001934981753509135), give (0.0018031447282627145), love (0.0018584177871618643), think (0.0018856224081457002), think (0.0019047720384959418), ive (0.002194352493354979), ive (0.002241503061672404), side (0.002230986977379555), hear (0.002385061870390683), way (0.0022269035903740046), want (0.002338410267148827), run (0.0022185972913115557), doesnt (0.0021892835173439886), connect (0.002218174463344783), batteri (0.002262986832522281), 
,,,,,,,,,,,,,,,,,,,,
trebl (0.0018300392551769862), mid (0.0018759538719466838), mani (0.0018400487032852624), plug (0.0018876502316418175), low (0.0019070056900929292), wire (0.0019159616181914682), mid (0.0017979333272759431), wire (0.0018558021393077163), low (0.0018790522951790847), trebl (0.0018577406298121843), head (0.002180856693352532), cant (0.0021856625610386393), fit (0.0021876938273301476), design (0.0023716463485573026), beat (0.0022258288297810377), see (0.0022878604145343284), issu (0.0021974075493717674), start (0.0021700589203370924), head (0.0022144200514581536), charg (0.002246295296070835), 
,,,,,,,,,,,,,,,,,,,,
end (0.001814828424657455), wire (0.0018733609847524308), overal (0.001838807942182216), play (0.0018670483190126436), bluetooth (0.0019057197793019098), frequenc (0.0018753853295137787), frequenc (0.0017953276267825577), control (0.001847955195745272), bluetooth (0.0018488297755326533), seem (0.0018433699216032582), left (0.002167682221921572), around (0.0021708812520473486), broke (0.0021686289539138946), know (0.0023372010897959204), want (0.002216514237975324), side (0.002276022790820807), start (0.0021974075493717674), bose (0.0021627668318172353), part (0.002212030880257571), broke (0.002223825920078504), 
,,,,,,,,,,,,,,,,,,,,
low (0.0018064927793093421), overal (0.0018526178871984065), bluetooth (0.0018313633755639358), trebl (0.0018657606994733201), play (0.001842710150541954), overal (0.001874117320492601), trebl (0.001792721926289172), put (0.0018348769564745318), find (0.0018409456399727147), overal (0.0018394506375462784), cancel (0.0021631836219207566), way (0.002163983307851413), devic (0.0021563162231658982), want (0.0023226978229490226), old (0.002205766632045654), made (0.0022149150575969515), didnt (0.002196458754956553), cheap (0.0021332670191687225), custom (0.0022110069497430357), didnt (0.0022228629468216896), 
,,,,,,,,,,,,,,,,,,,,
though (0.0018059692181139236), think (0.001848728556407027), two (0.0018301226144608893), plastic (0.0018464464063834695), mid (0.00182727922104972), trebl (0.001856365194196112), wire (0.0017849048248090153), though (0.0018335691325474578), love (0.0018396316173793915), plug (0.0018303056414133256), issu (0.0021403692933451915), put (0.0021442748958630255), turn (0.0021535359291260277), head (0.0023110952094715044), broke (0.0022036171108597204), doesnt (0.0022101160209563346), differ (0.0021477539749755466), want (0.0021269693063561187), made (0.0021983784733971006), put (0.0021891588828331925), 
,,,,,,,,,,,,,,,,,,,,
plastic (0.001803227410801073), bluetooth (0.0018227996844644965), mid (0.001820196525636516), control (0.0018309949719115888), find (0.001822135577885642), low (0.001844953113005512), bluetooth (0.0017849048248090153), give (0.0018231065411308653), overal (0.0018146651881062526), plastic (0.0018263863573563458), need (0.002140047964773705), run (0.002141975581131047), give (0.0021340738708469364), call (0.0023027558310345377), put (0.002197526800832908), head (0.002165644948086618), poor (0.00212909435147633), warranti (0.0021133795050236577), cant (0.0021796064139639536), differ (0.0021747142839809797), 
,,,,,,,,,,,,,,,,,,,,
think (0.001799355813540214), size (0.001816317466478864), wire (0.0018177150034304225), give (0.0018309949719115888), think (0.001822135577885642), think (0.001844953113005512), find (0.001780996274068937), plastic (0.0018165674214954952), frequenc (0.0018067810525463138), though (0.0018211606452803728), know (0.0021342640504869418), cheap (0.0021337637428025524), feel (0.0021285132827671962), someth (0.0023009429226786755), receiv (0.0021914364908060947), high (0.002160845911446001), long (0.0021202389369343287), high (0.0020987953279839435), cabl (0.002170391039333136), cant (0.002146146077362158), 
,,,,,,,,,,,,,,,,,,,,
control (0.0017971237894965871), though (0.0018085388048961048), less (0.0018139927201212826), low (0.001828419732832942), love (0.0018092764699754469), find (0.0018335410318149118), low (0.0017770877233288587), bluetooth (0.0018034891822247547), speaker (0.0018054670299529909), low (0.0018159349332043996), start (0.002105987136196101), didnt (0.002120296327943821), start (0.0021273217281786803), feel (0.002296591942624606), custom (0.0021788976172214805), seem (0.0021518877097168494), put (0.0020993654597996118), connect (0.002091171780895002), charg (0.002157421252815689), star (0.002135874362622807), 
,,,,,,,,,,,,,,,,,,,,
excel (0.001795718441024674), low (0.0017981672561190928), though (0.001812751959018236), two (0.0018181187765183551), two (0.0017938455404832127), bluetooth (0.0018208609416031339), back (0.0017718763223420874), think (0.0017877952950998664), ipod (0.0018015249621730215), give (0.0017898063728245344), old (0.0020976325933374437), feel (0.002117011592612423), howev (0.002093958199700238), beat (0.0022831764207912257), plastic (0.002133399418785879), new (0.00214356937953978), cheap (0.002056669711114963), stay (0.002091171780895002), ive (0.0021519602900715007), wear (0.002123676701369827), 
,,,,,,,,,,,,,,,,,,,,
devic (0.0017859223354998672), mani (0.0017929814817305865), give (0.0018102704368121426), back (0.0018168311569790316), ipod (0.0017912737189011737), size (0.0017866246980313336), love (0.001757544969628467), two (0.0017851796472457182), put (0.0017988969169863752), back (0.0017871935167865479), speaker (0.0020632504361883528), receiv (0.0021163546455461434), need (0.0020880004267576587), devic (0.002263959592219086), side (0.0021222935593252206), way (0.0021422896364356155), cant (0.002052558268649034), cancel (0.0020908403223259173), stop (0.0021505950493854536), give (0.0021060221916615668), 
,,,,,,,,,,,,,,,,,,,,
give (0.0017755475570748608), play (0.0017877957073420805), love (0.001790418259163396), love (0.0018000921029678277), overal (0.0017784146109909788), plastic (0.0017853566890101557), though (0.001756242119381774), find (0.0017760248797562001), two (0.001797582894393052), find (0.0017780485206535948), put (0.002057145193330103), new (0.0021094567013502075), someth (0.002053048158827862), play (0.002190718094642252), howev (0.0021000818404039033), design (0.002128532398065847), anoth (0.002037061293200532), head (0.002083879692375145), way (0.0021505950493854536), around (0.0020870837176108874), 
,,,,,,,,,,,,,,,,,,,,
overal (0.0017742799878648998), give (0.0017579775046081705), control (0.0017804921703390227), mid (0.001797516863889181), trebl (0.001756554127543647), less (0.0017815526619466223), sennheis (0.0017458193174082317), batteri (0.001773409231902052), size (0.0017870707136464674), put (0.0017715163805586286), beat (0.002042685407613196), someth (0.002093033024693218), poor (0.0020447072767082516), left (0.0021569979992232145), turn (0.0020828856709164323), plastic (0.0021246931687533533), fit (0.002027573349048388), find (0.0020759246867171188), less (0.0021321643001238184), someth (0.002069429207902627), 
,,,,,,,,,,,,,,,,,,,,
back (0.0017694301578441796), put (0.0017450130686369053), find (0.001771806842617696), end (0.00177433971218136), though (0.0017501245735885495), love (0.0017815526619466223), mani (0.0017380022159280751), excel (0.0017537918729959414), take (0.0017857566910531443), sennheis (0.001768903524520642), small (0.0020378654790408936), custom (0.0020611710919786583), high (0.002041926982668381), old (0.0021537347641826625), differ (0.0020467020642865445), soni (0.002108696379951297), want (0.002022196847362173), know (0.0020689640567663464), cheap (0.0021069073474319477), run (0.0020630093861905324), 
,,,,,,,,,,,,,,,,,,,,
sennheis (0.0017529104243361017), two (0.0017372344070541463), excel (0.0017693253204116026), mani (0.0017653263754060964), less (0.0017244063577681594), two (0.0017790166439042667), two (0.0017327908149413038), includ (0.0017537918729959414), control (0.0017805006006798517), play (0.0017610649564066825), receiv (0.002035294850468999), need (0.002057229409580981), stop (0.0020375579491771567), star (0.0021279914655294185), seem (0.002019833049462371), complet (0.0021051770864148446), read (0.0019564137679073073), never (0.0020371440341342426), case (0.0021045181762313655), call (0.00204182397454062), 
